suite,concept,scale,declarative_score,declarative_pct
pythia,landmark region,1B,1.0,50.0
pythia,landmark region,2.8B,1.0,50.0
pythia,landmark region,6.9B,0.0,0.0
pythia,landmark region,12B,1.0,50.0
pythia,live region,160M,1.0,50.0
pythia,live region,410M,1.0,50.0
pythia,live region,1B,1.0,50.0
pythia,live region,2.8B,1.0,50.0
pythia,live region,6.9B,1.0,50.0
pythia,live region,12B,1.0,50.0
pythia,low vision,160M,1.0,50.0
pythia,low vision,410M,1.0,50.0
pythia,low vision,1B,1.0,50.0
pythia,low vision,2.8B,1.0,50.0
pythia,low vision,6.9B,1.0,50.0
pythia,low vision,12B,2.0,100.0
pythia,menu bar,160M,2.0,100.0
pythia,menu bar,410M,2.0,100.0
pythia,menu bar,1B,2.0,100.0
pythia,menu bar,2.8B,2.0,100.0
pythia,menu bar,6.9B,2.0,100.0
pythia,menu bar,12B,2.0,100.0
pythia,pointer cancellation,160M,0.0,0.0
pythia,pointer cancellation,410M,0.0,0.0
pythia,pointer cancellation,1B,0.0,0.0
pythia,pointer cancellation,2.8B,0.0,0.0
pythia,pointer cancellation,6.9B,0.0,0.0
pythia,pointer cancellation,12B,0.0,0.0
pythia,radio group,160M,1.0,50.0
pythia,radio group,410M,0.0,0.0
pythia,radio group,1B,1.0,50.0
pythia,radio group,2.8B,0.0,0.0
pythia,radio group,6.9B,0.0,0.0
pythia,radio group,12B,1.0,50.0
pythia,reading order,160M,0.0,0.0
pythia,reading order,410M,0.0,0.0
pythia,reading order,1B,0.0,0.0
pythia,reading order,2.8B,2.0,100.0
pythia,reading order,6.9B,0.0,0.0
pythia,reading order,12B,0.0,0.0
pythia,redundant entry,160M,0.0,0.0
pythia,redundant entry,410M,0.0,0.0
pythia,redundant entry,1B,0.0,0.0
pythia,redundant entry,2.8B,0.0,0.0
pythia,redundant entry,6.9B,0.0,0.0
pythia,redundant entry,12B,0.0,0.0
pythia,responsive design,160M,0.0,0.0
pythia,responsive design,410M,0.0,0.0
