family,model,compound,max_attention,max_weighted,max_relative,p95_relative,mean_top5_relative,bigram_count,log_frequency
gpt2,gpt2,accessibility_tree,0.5535398721694946,127.83364868164062,0.5534759759902954,0.04587735328823318,0.1577323388308286,1307,7.176254532017144
gpt2,gpt2,accessible_authentication,0.4968661963939667,118.76815795898438,0.478918969631195,0.043383435718715134,0.14909658357501024,3,1.3862943611198906
gpt2,gpt2,accessible_description,0.616191029548645,142.19129943847656,0.5980008244514465,0.06848963666707272,0.20681782215833663,716,6.57507584059962
gpt2,gpt2,accessible_name,0.5690729022026062,91.45944213867188,0.380904346704483,0.07102222703397262,0.13866003006696698,1619,7.3901814282264295
gpt2,gpt2,alt_text,0.3200315237045288,77.18572998046875,0.3121591806411743,0.03256317367777221,0.08790645040571685,23306,10.056509023618531
gpt2,gpt2,audio_description,0.7257539629936218,178.13746643066406,0.770601212978363,0.04737394563853735,0.2441139817237854,4691,8.453614209773367
gpt2,gpt2,character_key,0.5346083641052246,129.29425048828125,0.5217562913894653,0.02779477760195726,0.15373333431780334,1974,7.5883236773352225
gpt2,gpt2,closed_captions,0.3227593004703522,82.161376953125,0.3331539928913116,0.030413110833615014,0.09854791387915607,7942,8.980046316633132
gpt2,gpt2,cognitive_disabilities,0.5437333583831787,146.26177978515625,0.6402159333229065,0.04290307275950905,0.19630600251257416,10189,9.229162126216771
gpt2,gpt2,color_contrast,0.6846132278442383,153.5965576171875,0.5936745405197144,0.032242197077721316,0.20809751152992248,20112,9.909121651153221
gpt2,gpt2,combo_box,0.4670504927635193,108.10281372070312,0.4247332811355591,0.032600740715861276,0.13663136437535284,50410,10.827964684213782
gpt2,gpt2,consistent_help,0.5637562274932861,150.05650329589844,0.5966450572013855,0.06728863492608068,0.17278727665543553,504,6.22455842927536
gpt2,gpt2,decorative_image,0.5041399598121643,109.65279388427734,0.4581398963928222,0.06188066713511942,0.15995600074529642,749,6.620073206530356
gpt2,gpt2,drag_movement,0.3655396997928619,77.59578704833984,0.3143743276596069,0.03007223336026065,0.0915668204426765,328,5.796057750765372
gpt2,gpt2,error_identification,0.6055700182914734,147.53160095214844,0.6019538044929504,0.04412758555263275,0.186339845508337,1566,7.356918242356021
gpt2,gpt2,focus_appearance,0.5198451280593872,124.11029052734376,0.5036885738372803,0.023623781464993943,0.13961441963911053,102,4.634728988229636
gpt2,gpt2,focus_indicator,0.5317944288253784,126.96311950683594,0.5110151767730713,0.019643072783946933,0.13964103665202854,1261,7.140453043101158
gpt2,gpt2,focus_management,0.592657208442688,140.79656982421875,0.5360785722732544,0.03544142972677943,0.180815102905035,989,6.897704943128636
gpt2,gpt2,form_field,0.4786698520183563,109.74356079101562,0.4577266275882721,0.035848517157137334,0.13829411119222637,51864,10.856399467865929
gpt2,gpt2,informative_image,0.5737228393554688,142.62643432617188,0.6022905707359314,0.0578830935060977,0.18641025945544237,520,6.255750041753367
gpt2,gpt2,input_purpose,0.637893795967102,149.481201171875,0.6503819227218628,0.054156614467501585,0.21218831092119217,53,3.9889840465642745
gpt2,gpt2,keyboard_interaction,0.4659033715724945,108.84874725341795,0.4528336524963379,0.03305765921249979,0.14293397814035413,1073,6.97914527506881
gpt2,gpt2,keyboard_navigation,0.5167616009712219,126.5863800048828,0.4988699853420257,0.046075508929789025,0.1633436478674411,8050,8.993551586299981
gpt2,gpt2,landmark_region,0.6330841183662415,150.3313446044922,0.6649118065834045,0.07015154920518395,0.2102005042135715,128,4.859812404361672
gpt2,gpt2,live_region,0.6152563691139221,127.65830993652344,0.5725170373916626,0.08323870524764054,0.17646755725145338,1112,7.014814351275545
gpt2,gpt2,low_vision,0.6168351769447327,159.72552490234375,0.7120766043663025,0.026706036832183585,0.2137809030711651,36811,10.513579157958748
gpt2,gpt2,menu_bar,0.6509248614311218,160.46115112304688,0.6473249197006226,0.03724816851317877,0.1812535881996154,106878,11.579452632439278
gpt2,gpt2,pointer_cancellation,0.3245521485805511,71.6429672241211,0.2807046175003052,0.01808740245178334,0.08387466557323929,2,1.0986122886681098
gpt2,gpt2,radio_group,0.4153472781181335,94.99170684814452,0.3821260035037994,0.049706090800464085,0.13970051370561118,6694,8.809116258125274
gpt2,gpt2,reading_order,0.7082353234291077,172.01046752929688,0.7405933737754822,0.05276840813457958,0.2493099696934223,9225,9.129780864117766
gpt2,gpt2,redundant_entry,0.634526789188385,109.08824920654295,0.4451618492603302,0.06184992380440231,0.1501830257475376,205,5.327876168789581
gpt2,gpt2,responsive_design,0.4832797646522522,116.8364486694336,0.4530299603939056,0.04088711030781263,0.16749912649393078,35628,10.4809151919697
gpt2,gpt2,screen_reader,0.4441255629062652,101.79803466796876,0.449062705039978,0.04064381327480076,0.13692851103842257,32100,10.376642461280849
gpt2,gpt2,section_heading,0.6304507255554199,144.6168670654297,0.6352253556251526,0.04582936195656652,0.20732954256236552,6949,8.846496938558838
gpt2,gpt2,semantic_html,0.5315894484519958,124.00525665283205,0.5152645111083984,0.04097999762743707,0.1521649062633514,2595,7.86172707782398
gpt2,gpt2,semantic_markup,0.4580928981304168,106.86052703857422,0.4684196710586548,0.023367420677095626,0.13566031865775582,4776,8.471568013389962
gpt2,gpt2,sensory_characteristics,0.3978729248046875,100.81336212158205,0.404451847076416,0.04327735956758252,0.12736825160682197,11206,9.324293862052029
gpt2,gpt2,sign_language,0.7613256573677063,181.6692047119141,0.7235774993896484,0.025981792621314427,0.19872023761272425,113936,11.643400943040573
