condition,family,model,measure,n_compounds,rho,p_value,ci_low,ci_high
uniform,gpt2,gpt2,max_attention,49,-0.26163265306122446,0.06938186814474383,-0.520299238276509,0.059652830753832854
uniform,gpt2,gpt2,max_weighted,49,-0.18285714285714283,0.2085395900255316,-0.46193204842019786,0.13640777186105754
uniform,gpt2,gpt2,max_relative,49,-0.11183673469387753,0.444240467100159,-0.3956401372586254,0.20505210461789947
uniform,gpt2,gpt2,p95_relative,49,-0.3142857142857142,0.0278590022333539,-0.5538636995627492,-0.011391918887833075
uniform,gpt2,gpt2,mean_top5_relative,49,-0.14326530612244898,0.32607715865815645,-0.4228350217864076,0.16906419191100178
uniform,gpt2,gpt2-large,max_attention,49,-0.1610204081632653,0.2690397241828685,-0.43192205683207435,0.14969189230048038
uniform,gpt2,gpt2-large,max_weighted,49,-0.009285714285714284,0.9495090411242234,-0.3149052989278511,0.2785478072142821
uniform,gpt2,gpt2-large,max_relative,49,0.02040816326530612,0.8893050196036206,-0.282904569295029,0.3114545248000943
uniform,gpt2,gpt2-large,p95_relative,49,-0.36204081632653057,0.01058138131471155,-0.5864966042820527,-0.06973726143591483
uniform,gpt2,gpt2-large,mean_top5_relative,49,-0.1361224489795918,0.3510215315575552,-0.39874859268429647,0.13861364274716184
uniform,gpt2,gpt2-medium,max_attention,49,-0.4260204081632652,0.002272928168156479,-0.6245664530869286,-0.17312572929490405
uniform,gpt2,gpt2-medium,max_weighted,49,-0.3414285714285714,0.01635299518712689,-0.5987200449644884,-0.04223121268133895
uniform,gpt2,gpt2-medium,max_relative,49,-0.4109183673469387,0.0033577892047333096,-0.6469322689926738,-0.13134105042645708
uniform,gpt2,gpt2-medium,p95_relative,49,-0.42969387755102034,0.002061516219154032,-0.6480760540380832,-0.1527492416410036
uniform,gpt2,gpt2-medium,mean_top5_relative,49,-0.41377551020408154,0.00312305439949746,-0.6347350177945734,-0.14399296017776486
uniform,gpt2,gpt2-xl,max_attention,49,-0.26346938775510204,0.06737830711693674,-0.48912975345860704,-0.023788411689579365
uniform,gpt2,gpt2-xl,max_weighted,49,0.09673469387755101,0.5084740605741287,-0.21252873752528215,0.3561694258511383
uniform,gpt2,gpt2-xl,max_relative,49,-0.009387755102040816,0.9489549245652343,-0.30764433009802755,0.2660491573596196
uniform,gpt2,gpt2-xl,p95_relative,49,-0.23979591836734693,0.0970048922258853,-0.49831234802066754,0.048963555291616626
uniform,gpt2,gpt2-xl,mean_top5_relative,49,-0.16285714285714284,0.2635436411553222,-0.44810006084225407,0.12103403987841407
uniform,olmo,OLMo-2-0425-1B,max_attention,49,-0.4974489795918367,0.00027640909548217547,-0.7040979804799579,-0.21677574456295207
uniform,olmo,OLMo-2-0425-1B,max_weighted,49,0.05183673469387754,0.7235428482025094,-0.22903111558826428,0.3196141794034386
uniform,olmo,OLMo-2-0425-1B,max_relative,49,-0.2383673469387755,0.09907235920146018,-0.4786189162797555,0.044643171798066136
uniform,olmo,OLMo-2-0425-1B,p95_relative,49,-0.4424489795918367,0.001456381094943806,-0.6445044091075959,-0.18677572978358492
uniform,olmo,OLMo-2-0425-1B,mean_top5_relative,49,-0.3971428571428571,0.004721308852404017,-0.6109183250904715,-0.14008433427038086
uniform,olmo,OLMo-2-1124-13B,max_attention,49,-0.1280612244897959,0.3805380133300913,-0.3739507644715158,0.13441581201339134
uniform,olmo,OLMo-2-1124-13B,max_weighted,49,0.26479591836734695,0.06596015153667485,-0.025903692063681632,0.5234788507617245
uniform,olmo,OLMo-2-1124-13B,max_relative,49,0.4571428571428571,0.0009595770589451706,0.2130937290639769,0.6459705301753392
uniform,olmo,OLMo-2-1124-13B,p95_relative,49,-0.2174489795918367,0.13338860017322077,-0.5070288220417036,0.09376441642606081
uniform,olmo,OLMo-2-1124-13B,mean_top5_relative,49,0.22183673469387755,0.12554025950830214,-0.040516380401986525,0.45166102375833694
uniform,olmo,OLMo-2-1124-7B,max_attention,49,-0.2758163265306122,0.05507746332553596,-0.5362280607618003,-0.0027543171847006272
uniform,olmo,OLMo-2-1124-7B,max_weighted,49,0.27163265306122447,0.0590243562897884,-0.029378872674761136,0.5274130976710828
uniform,olmo,OLMo-2-1124-7B,max_relative,49,0.22591836734693876,0.11855687517644257,-0.08754362100086326,0.5077739230706451
uniform,olmo,OLMo-2-1124-7B,p95_relative,49,-0.3474489795918367,0.01444122008037599,-0.6148242268854307,-0.04758545886103077
uniform,olmo,OLMo-2-1124-7B,mean_top5_relative,49,-0.050408163265306116,0.7308712276465115,-0.37323572998109256,0.2642450100615329
uniform,pythia,pythia-12b,max_attention,49,-0.5199999999999999,0.0001284414681374242,-0.6937444146377302,-0.2926762946947573
uniform,pythia,pythia-12b,max_weighted,49,-0.1464285714285714,0.31539601156596825,-0.4423638486302584,0.1632766489215708
uniform,pythia,pythia-12b,max_relative,49,-0.07132653061224489,0.6262458568512576,-0.36419091081055477,0.22278630941254335
uniform,pythia,pythia-12b,p95_relative,49,-0.4521428571428571,0.0011082568824165905,-0.6355110954679061,-0.22654399709840747
uniform,pythia,pythia-12b,mean_top5_relative,49,-0.29183673469387755,0.04188627297841565,-0.5197857851154774,-0.017115927143958688
uniform,pythia,pythia-160m,max_attention,49,-0.21068465572454415,0.14619950753492333,-0.4654156094629025,0.08104386416475766
uniform,pythia,pythia-160m,max_weighted,49,-0.0013265306122448978,0.9927824361822419,-0.31620499483454534,0.28925131535796184
uniform,pythia,pythia-160m,max_relative,49,-0.0570408163265306,0.6970577307773338,-0.37276259346952023,0.25159598345617207
uniform,pythia,pythia-160m,p95_relative,49,-0.26591836734693874,0.06477885408139888,-0.522858359136583,0.026539324996092545
uniform,pythia,pythia-160m,mean_top5_relative,49,-0.19102040816326532,0.18858767508112642,-0.48222970894208106,0.11957337754450201
uniform,pythia,pythia-1b,max_attention,49,-0.41438775510204073,0.003074679727633452,-0.6228159519354388,-0.15025598653148542
uniform,pythia,pythia-1b,max_weighted,49,-0.38071428571428567,0.006961932817756865,-0.5952697597512099,-0.10830055970228357
uniform,pythia,pythia-1b,max_relative,49,-0.4033673469387754,0.004054560105663328,-0.6256117445360867,-0.12497248788210695
uniform,pythia,pythia-1b,p95_relative,49,-0.310204081632653,0.030067840167972874,-0.5448216740853046,-0.04473396930411677
uniform,pythia,pythia-1b,mean_top5_relative,49,-0.3955102040816326,0.004911348991785449,-0.6113959638644015,-0.13988839563772298
uniform,pythia,pythia-2.8b,max_attention,49,-0.3,0.03623373149256814,-0.5503206150834293,-0.026111664918204564
uniform,pythia,pythia-2.8b,max_weighted,49,-0.34571428571428564,0.014971440011532496,-0.5687192775597226,-0.0898826854967111
uniform,pythia,pythia-2.8b,max_relative,49,-0.32408163265306117,0.02310451006798124,-0.5517748895115281,-0.053889601731417935
uniform,pythia,pythia-2.8b,p95_relative,49,-0.36826530612244895,0.009227374931335963,-0.5944354275990552,-0.09928029094263387
