condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr,candidate_rank
natural,gpt2,gpt2,10,9,-0.3904347826086956,0.05925750969939877,24,0.9917089108208642,1
natural,gpt2,gpt2,10,11,-0.30347826086956514,0.14940850037488196,24,0.9917089108208642,2
natural,gpt2,gpt2,9,0,-0.288695652173913,0.17126415242206866,24,0.9917089108208642,3
natural,gpt2,gpt2,11,11,-0.2826086956521739,0.1808793683193114,24,0.9917089108208642,4
natural,gpt2,gpt2,9,7,-0.27478260869565213,0.19378063586855726,24,0.9917089108208642,5
