concept,n,n_degenerate,pct_degenerate
universal_design,13,0,0.0
user_name,13,0,0.0
venture_capital,13,1,7.7
viral_infection,13,0,0.0
waiting_room,13,1,7.7
washing_machine,13,0,0.0
wcag,13,1,7.7
witness_testimony,13,0,0.0
wound_care,13,0,0.0
yield_maturity,13,0,0.0
zero_collar,13,1,7.7
