set_id,heads,rho_frequency_kl,mean_kl,median_kl,top_changes
random_049,"[[25, 4], [27, 9], [28, 9], [30, 17], [31, 26]]",-0.07391304347826086,2.6555639730455976e-05,8.390947186853737e-06,0
random_050,"[[22, 13], [25, 23], [27, 3], [29, 28], [31, 24]]",0.07913043478260869,1.1705461247402127e-05,5.1500683184713125e-06,0
random_051,"[[22, 7], [23, 18], [24, 22], [29, 5], [31, 29]]",0.11130434782608695,4.723640662026203e-06,1.0182993719354272e-06,0
random_052,"[[24, 20], [26, 25], [27, 13], [28, 10], [29, 27]]",0.15304347826086956,4.565488112954578e-05,2.0857187337242067e-05,0
random_053,"[[22, 24], [26, 17], [26, 22], [27, 17], [31, 10]]",0.2052173913043478,4.97534771663292e-06,4.257788532413542e-06,0
random_054,"[[23, 30], [24, 5], [25, 30], [26, 15], [28, 2]]",0.2817391304347826,2.3607594206017286e-05,9.761737601365894e-06,0
random_055,"[[25, 22], [28, 24], [29, 12], [31, 16], [31, 21]]",0.22347826086956518,3.513301210963012e-05,2.335837052669376e-05,0
random_056,"[[23, 29], [24, 15], [26, 22], [28, 31], [30, 2]]",0.577391304347826,0.00020299136122048367,0.00011774468293879181,0
random_057,"[[22, 21], [25, 15], [28, 1], [28, 4], [28, 30]]",0.25130434782608696,0.00017740833967157718,7.645659206900746e-05,0
random_058,"[[22, 1], [26, 16], [26, 26], [29, 17], [31, 29]]",-0.02869565217391304,2.479043359926436e-06,2.2116873878985643e-06,0
random_059,"[[24, 2], [24, 31], [27, 11], [29, 27], [30, 25]]",0.16,2.915947743531433e-05,1.327820064034313e-05,0
random_060,"[[22, 6], [27, 3], [27, 21], [28, 30], [31, 4]]",0.05565217391304347,0.00030566139503207523,0.00019023139611817896,0
random_061,"[[23, 4], [24, 29], [26, 9], [30, 24], [31, 12]]",0.10086956521739131,2.5489946059072586e-06,1.7537895473651588e-06,0
random_062,"[[22, 31], [23, 28], [25, 6], [27, 12], [29, 25]]",-0.040869565217391296,4.836616729638384e-06,3.2907155400607735e-06,0
random_063,"[[24, 7], [27, 3], [27, 17], [27, 31], [28, 23]]",0.01652173913043478,9.095860188305474e-06,3.949946403736249e-06,0
random_064,"[[26, 7], [26, 30], [28, 30], [29, 9], [31, 11]]",0.41478260869565214,2.1165633673566237e-05,1.5042023733258247e-05,0
random_065,"[[22, 23], [26, 7], [27, 18], [27, 31], [28, 25]]",0.09478260869565217,8.610136092102039e-06,4.820056346943602e-06,0
random_066,"[[28, 25], [29, 5], [29, 17], [29, 25], [30, 5]]",0.020869565217391303,2.9443325123187e-06,2.119402779499069e-06,0
random_067,"[[23, 15], [24, 31], [27, 8], [28, 29], [30, 4]]",-0.06,1.3525040534053309e-05,7.711030775681138e-06,0
random_068,"[[25, 25], [26, 9], [28, 8], [28, 29], [30, 20]]",-0.07565217391304348,1.2844136563217035e-06,8.229239938373212e-07,0
random_069,"[[22, 21], [23, 7], [25, 0], [27, 2], [29, 1]]",0.1443478260869565,5.358042661403791e-06,2.049261638603639e-06,0
random_070,"[[22, 17], [23, 15], [23, 23], [28, 25], [29, 0]]",-0.04869565217391304,2.3014099648814106e-05,1.6395259081036784e-05,0
random_071,"[[24, 29], [25, 30], [28, 19], [29, 14], [30, 26]]",-0.1217391304347826,6.710111847496592e-05,1.2375254300422966e-05,0
random_072,"[[23, 15], [26, 9], [26, 14], [26, 28], [30, 13]]",-0.017391304347826087,1.5237724862042038e-05,1.0027088137576357e-05,0
random_073,"[[24, 6], [26, 10], [28, 3], [29, 10], [30, 26]]",0.09043478260869564,4.96377985352107e-06,3.1261770345736295e-06,0
random_074,"[[22, 3], [22, 6], [28, 11], [29, 2], [29, 22]]",0.497391304347826,4.707153311755974e-05,3.3031457860488445e-05,0
random_075,"[[22, 24], [24, 12], [26, 18], [27, 14], [30, 31]]",0.22,2.027529899351066e-05,9.82201163424179e-06,0
random_076,"[[24, 4], [29, 1], [29, 25], [30, 19], [31, 18]]",0.21478260869565213,2.69978249889391e-06,1.7582860891707242e-06,0
random_077,"[[23, 14], [24, 2], [24, 17], [25, 5], [27, 18]]",0.36260869565217385,1.1884469737803252e-05,7.830931281205267e-06,0
random_078,"[[22, 29], [29, 1], [29, 2], [29, 5], [31, 16]]",0.06695652173913043,5.019258802955544e-06,1.842297933762893e-06,0
random_079,"[[26, 7], [26, 21], [26, 27], [28, 9], [28, 20]]",-0.015652173913043476,1.9612496544141322e-05,1.3435899745672941e-05,0
